sample	cohort	sequencer
SRR24363559.rna.1	Case	Illumina_HiSeq_2500
SRR22831231.rna.1	Discard	Illumina_NovaSeq_6000
SRR24363052.rna.1	Case	Illumina_HiSeq_2500
SRR24390009.rna.1	Case	Illumina_HiSeq_2500
SRR22807115.rna.1	Control	Illumina_MiSeq
SRR24363556.rna.1	Case	Illumina_HiSeq_2500
SRR24415248.rna.1	Case	Illumina_HiSeq_2500
SRR22831180.rna.1	Control	Illumina_NovaSeq_6000
SRR24363059.rna.1	Case	Illumina_HiSeq_2500
SRR22831184.rna.1	Control	Illumina_NovaSeq_6000
SRR24414154.rna.1	Case	Illumina_HiSeq_2500
SRR22831167.rna.1	Control	Illumina_NovaSeq_6000
SRR24390583.rna.1	Case	Illumina_HiSeq_2500
SRR24390450.rna.1	Case	Illumina_HiSeq_2500
SRR22831232.rna.1	Control	Illumina_NovaSeq_6000
SRR22807064.rna.1	Case	Illumina_MiSeq
SRR24414146.rna.1	Case	Illumina_HiSeq_2500
SRR22807112.rna.1	Control	Illumina_MiSeq
SRR24415245.rna.1	Case	Illumina_HiSeq_2500
SRR24390491.rna.1	Case	Illumina_HiSeq_2500
SRR24415953.rna.1	Case	Illumina_HiSeq_2500
SRR24390003.rna.1	Case	Illumina_HiSeq_2500
SRR22807072.rna.1	Case	Illumina_MiSeq
SRR22831241.rna.1	Control	Illumina_NovaSeq_6000
SRR24390492.rna.1	Case	Illumina_HiSeq_2500
SRR24442882.rna.1	Case	Illumina_HiSeq_2500
SRR24363557.rna.1	Case	Illumina_HiSeq_2500
SRR24390006.rna.1	Case	Illumina_HiSeq_2500
SRR24390453.rna.1	Case	Illumina_HiSeq_2500
SRR24415955.rna.1	Case	Illumina_HiSeq_2500
SRR24415097.rna.1	Case	Illumina_HiSeq_2500
SRR24414149.rna.1	Case	Illumina_HiSeq_2500
SRR24351909.rna.1	Case	Illumina_HiSeq_2500
SRR22807099.rna.1	Control	Illumina_MiSeq
SRR22831203.rna.1	Control	Illumina_NovaSeq_6000
SRR22807062.rna.1	Case	Illumina_MiSeq
SRR24385736.rna.1	Case	Illumina_HiSeq_2500
SRR24363050.rna.1	Case	Illumina_HiSeq_2500
SRR22831173.rna.1	Control	Illumina_NovaSeq_6000
SRR24442879.rna.1	Case	Illumina_HiSeq_2500
SRR24363054.rna.1	Case	Illumina_HiSeq_2500
SRR24415098.rna.1	Case	Illumina_HiSeq_2500
SRR22807049.rna.1	Case	Illumina_MiSeq
SRR22807061.rna.1	Case	Illumina_MiSeq
SRR24413233.rna.1	Case	Illumina_HiSeq_2500
SRR24424451.rna.1	Case	Illumina_HiSeq_2500
SRR22807040.rna.1	Case	Illumina_MiSeq
SRR24363109.rna.1	Case	Illumina_HiSeq_2500
SRR22807048.rna.1	Case	Illumina_MiSeq
SRR22807038.rna.1	Control	Illumina_MiSeq
SRR22807055.rna.1	Case	Illumina_MiSeq
SRR24385732.rna.1	Case	Illumina_HiSeq_2500
SRR24385738.rna.1	Case	Illumina_HiSeq_2500
SRR24351606.rna.1	Case	Illumina_HiSeq_2500
SRR24415075.rna.1	Case	Illumina_HiSeq_2500
SRR24363637.rna.1	Case	Illumina_HiSeq_2500
SRR24385726.rna.1	Case	Illumina_HiSeq_2500
SRR24351913.rna.1	Case	Illumina_HiSeq_2500
SRR22831169.rna.1	Control	Illumina_NovaSeq_6000
SRR24415247.rna.1	Case	Illumina_HiSeq_2500
SRR24385722.rna.1	Case	Illumina_HiSeq_2500
SRR24390582.rna.1	Case	Illumina_HiSeq_2500
SRR24363560.rna.1	Case	Illumina_HiSeq_2500
SRR24385735.rna.1	Case	Illumina_HiSeq_2500
SRR24390488.rna.1	Case	Illumina_HiSeq_2500
