sample	cohort	sequencer
CF233A0140.8D6AXX1QXF1.N002KX2P.rna.1	Control	BGI500_1
MDL001.24C2221019L.RNA.B33.20220521.rna.1	Control	Next550_1
CF235B0063.8D6AXX1ZXF1.N002J019.rna.1	Control	BGI500_1
MAX129139.rna.1	Control	BGI500_1
M117LJ0564.R.rna.1	Control	BGI500_1
MDL001.09C2140051L.RNA.B33.20210930.rna.1	Control	Next550_1
X22JS028186.rna.1	Control	Next550_2
A210512PARN030.rna.1	Control	Next550_2
X22JS05581901.rna.1	Control	Next550_2
MDL001.01C2121272L.RNA.C29.20210523.rna.1	Control	Next550_1
MDL001.09C2148005L.RNA.C02.20211122.rna.1	Control	Next550_1
M117LA0224.R.rna.1	Control	BGI500_1
MDL001.Q24C23070006L.RNA.D09.20230210.rna.1	Control	Next550_1
CF238W0015.8D6BXX1PXF1.N002JQ84.rna.1	Case	BGI500_1
MDL001.24C2213019L.RNA.C33.20220325.rna.1	Control	Next550_1
MAX119649.rna.1	Control	BGI500_1
CF22250091.8A6AXX1MXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q09C23070007L.RNA.C02.20230206.rna.1	Control	Next550_1
MAX153862.rna.1	Control	BGI500_1
M117HM0321.R.rna.1	Control	BGI500_1
MDL001.2C2026019L.RNA.C29.20200625.rna.1	Control	Next550_1
M117RE0278.R.rna.1	Control	BGI500_1
MAX145559.rna.1	Control	BGI500_1
MDL001.1C2020163L.RNA.A03.20200517.rna.1	Control	Next550_1
ZDH23051800061R.rna.1	Control	Next550_2
X21JS942954.rna.1	Case	Next550_2
ZDH23062400122R.rna.1	Case	Next550_2
X22JS106886.rna.1	Control	Next550_2
MDL001.09C2221019L.RNA.A33.20220517.rna.1	Control	Next550_1
MDL001.24C2209023L.RNA.C29.20220225.rna.1	Control	Next550_1
M118HM0214.R.rna.1	Case	BGI500_1
MDL001.09C2231009L.RNA.D24.20220725.rna.1	Control	Next550_1
ZDH23060600022R.rna.1	Case	Next550_2
M117RE0246.R.rna.1	Case	BGI500_1
X22JS032984.rna.1	Control	Next550_2
