Mix1	Mix2	MixNum	Common	Prj
12	42	5	1	P1_COVID
12	89	5	1	P1_COVID
12	99	5	0	P1_COVID
12	77	5	1	P1_COVID
12	71	5	1	P1_COVID
12	60	5	2	P1_COVID
12	95	5	1	P1_COVID
12	44	5	1	P1_COVID
12	23	5	1	P1_COVID
12	85	5	1	P1_COVID
12	49	5	1	P1_COVID
12	78	5	1	P1_COVID
12	53	5	1	P1_COVID
12	32	5	0	P1_COVID
12	84	5	0	P1_COVID
12	94	5	1	P1_COVID
12	45	5	1	P1_COVID
12	25	5	0	P1_COVID
12	83	5	1	P1_COVID
12	93	5	1	P1_COVID
12	17	5	1	P1_COVID
12	66	5	1	P1_COVID
12	6	5	0	P1_COVID
12	11	5	0	P1_COVID
12	54	5	0	P1_COVID
12	29	5	1	P1_COVID
12	43	5	1	P1_COVID
12	18	5	1	P1_COVID
12	24	5	1	P1_COVID
12	59	5	0	P1_COVID
12	55	5	0	P1_COVID
56	100	5	1	P1_COVID
56	40	5	0	P1_COVID
56	64	5	0	P1_COVID
56	69	5	2	P1_COVID
56	80	5	0	P1_COVID
56	2	5	0	P1_COVID
56	26	5	0	P1_COVID
56	90	5	0	P1_COVID
56	65	5	0	P1_COVID
56	72	5	0	P1_COVID
56	46	5	0	P1_COVID
56	4	5	1	P1_COVID
56	38	5	0	P1_COVID
56	50	5	0	P1_COVID
56	63	5	1	P1_COVID
56	31	5	0	P1_COVID
56	86	5	1	P1_COVID
56	9	5	0	P1_COVID
56	8	5	0	P1_COVID
56	20	5	0	P1_COVID
56	96	5	2	P1_COVID
56	37	5	0	P1_COVID
56	36	5	1	P1_COVID
56	75	5	1	P1_COVID
56	3	5	0	P1_COVID
56	91	5	1	P1_COVID
56	81	5	0	P1_COVID
56	97	5	0	P1_COVID
56	87	5	0	P1_COVID
56	79	5	1	P1_COVID
56	48	5	1	P1_COVID
56	13	5	0	P1_COVID
56	74	5	2	P1_COVID
56	41	5	0	P1_COVID
56	47	5	0	P1_COVID
56	98	5	0	P1_COVID
56	88	5	1	P1_COVID
56	15	5	1	P1_COVID
56	27	5	1	P1_COVID
56	21	5	0	P1_COVID
56	58	5	0	P1_COVID
56	30	5	0	P1_COVID
56	19	5	1	P1_COVID
56	73	5	0	P1_COVID
56	28	5	1	P1_COVID
56	51	5	1	P1_COVID
56	14	5	1	P1_COVID
56	62	5	1	P1_COVID
56	57	5	1	P1_COVID
56	22	5	0	P1_COVID
56	68	5	1	P1_COVID
56	33	5	1	P1_COVID
56	61	5	0	P1_COVID
56	70	5	1	P1_COVID
56	1	5	0	P1_COVID
56	16	5	1	P1_COVID
56	52	5	0	P1_COVID
56	67	5	0	P1_COVID
56	34	5	0	P1_COVID
56	82	5	1	P1_COVID
56	92	5	1	P1_COVID
56	39	5	2	P1_COVID
56	10	5	0	P1_COVID
56	7	5	0	P1_COVID
56	76	5	1	P1_COVID
56	35	5	0	P1_COVID
56	42	5	2	P1_COVID
56	89	5	0	P1_COVID
56	99	5	0	P1_COVID
56	77	5	2	P1_COVID
56	71	5	0	P1_COVID
56	60	5	1	P1_COVID
56	95	5	0	P1_COVID
56	44	5	1	P1_COVID
56	23	5	0	P1_COVID
56	85	5	1	P1_COVID
56	49	5	1	P1_COVID
56	78	5	2	P1_COVID
56	53	5	1	P1_COVID
56	32	5	1	P1_COVID
56	84	5	0	P1_COVID
56	94	5	0	P1_COVID
56	45	5	1	P1_COVID
56	25	5	0	P1_COVID
56	83	5	0	P1_COVID
56	93	5	0	P1_COVID
56	17	5	1	P1_COVID
56	66	5	0	P1_COVID
56	6	5	0	P1_COVID
56	11	5	1	P1_COVID
56	54	5	1	P1_COVID
56	29	5	1	P1_COVID
56	43	5	0	P1_COVID
56	18	5	1	P1_COVID
56	24	5	1	P1_COVID
56	59	5	1	P1_COVID
56	55	5	1	P1_COVID
100	40	5	1	P1_COVID
100	64	5	0	P1_COVID
100	69	5	1	P1_COVID
100	80	5	0	P1_COVID
100	2	5	0	P1_COVID
100	26	5	1	P1_COVID
100	90	5	1	P1_COVID
100	65	5	1	P1_COVID
100	72	5	3	P1_COVID
100	46	5	1	P1_COVID
100	4	5	0	P1_COVID
100	38	5	1	P1_COVID
100	50	5	1	P1_COVID
100	63	5	0	P1_COVID
100	31	5	0	P1_COVID
100	86	5	0	P1_COVID
100	9	5	0	P1_COVID
100	8	5	0	P1_COVID
100	20	5	1	P1_COVID
100	96	5	2	P1_COVID
100	37	5	0	P1_COVID
100	36	5	1	P1_COVID
100	75	5	0	P1_COVID
100	3	5	2	P1_COVID
100	91	5	0	P1_COVID
100	81	5	0	P1_COVID
100	97	5	0	P1_COVID
100	87	5	0	P1_COVID
100	79	5	3	P1_COVID
100	48	5	0	P1_COVID
