sample	project	Mixnumber	frag	cov	signal
Mix48	SARS-Cov-2 study 1	5	1	99.8428	33.3616
Mix97	SARS-Cov-2 study 1	5	1	99.8930	8.6111
Mix39	SARS-Cov-2 study 1	5	1	99.7994	0.7225
Mix45	SARS-Cov-2 study 1	5	2	99.7693	12.9376
Mix32	SARS-Cov-2 study 1	5	1	99.7759	10.2972
Mix11	SARS-Cov-2 study 1	5	1	99.7157	0.3315
Mix42	SARS-Cov-2 study 1	5	3	99.5184	0.2799
Mix49	SARS-Cov-2 study 1	5	1	99.8930	6.7279
Mix35	SARS-Cov-2 study 1	5	2	99.7994	1.4077
Mix47	SARS-Cov-2 study 1	5	2	99.7157	4.9339
Mix95	SARS-Cov-2 study 1	5	1	99.7759	0.3796
Mix92	SARS-Cov-2 study 1	5	1	99.7458	9.8215
Mix99	SARS-Cov-2 study 1	5	1	99.7157	2.6491
Mix37	SARS-Cov-2 study 1	5	1	99.7994	8.7322
Mix13	SARS-Cov-2 study 1	5	8	99.6622	2.5194
Mix98	SARS-Cov-2 study 1	5	1	99.8495	1.3775
Mix58	SARS-Cov-2 study 1	5	2	99.7726	3.4864
Mix8	SARS-Cov-2 study 1	5	1	99.8930	3.6239
Mix7	SARS-Cov-2 study 1	5	1	99.7759	0.3701
Mix66	SARS-Cov-2 study 1	5	1	99.8194	1.4413
Mix10	SARS-Cov-2 study 1	5	2	99.8495	36.7452
Mix59	SARS-Cov-2 study 1	5	1	99.8428	2.7507
Mix52	SARS-Cov-2 study 1	5	4	99.7994	0.3579
Mix2	SARS-Cov-2 study 1	5	1	99.6422	32.5773
Mix55	SARS-Cov-2 study 1	5	1	99.8495	24.7833
Mix24	SARS-Cov-2 study 1	5	1	99.8428	2.6915
Mix57	SARS-Cov-2 study 1	5	1	99.8595	1.5056
Mix74	SARS-Cov-2 study 1	5	1	99.7157	1.5052
Mix84	SARS-Cov-2 study 1	5	1	99.8930	29.1324
Mix22	SARS-Cov-2 study 1	5	1	99.7994	8.0497
Mix61	SARS-Cov-2 study 1	5	1	99.8127	1.5864
Mix29	SARS-Cov-2 study 1	5	5	97.7427	0.7241
Mix25	SARS-Cov-2 study 1	5	2	99.7157	25.8262
