fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	gatk_length	gatk_cov	gatk_Depth	gatk_Segments	gatk_Reads
0	0	0	0	0	0	0	0	29903	0.06159952	0.082310566	34	48
44	40	24287	80	81.2193	181	70	93.9778	29903	0.990491827	74.13387409	19	34041
0	0	0	0	0	0	0	0	29903	0.003410459	0.003410459	2	2
1	1	220	2	0.7357	0	0	100	29903	0.763168564	3.92156557	193	2264
24	2	29860	4	99.8562	191	70	82.87	29903	0.998620121	507.5358948	4	294412
12	4	29487	8	98.6088	186	70	91.7807	29903	0.998501678	133.5270897	3	74396
8	4	29795	8	99.6388	192	70	95.6807	29903	0.998258682	237.4516204	6	130110
8	1	29813	2	99.699	195	70	93.1566	29903	0.998763519	874.8996186	3	512919
0	0	0	0	0	0	0	0	29903	0.237816571	0.315016862	113	184
0	0	0	0	0	0	0	0	29903	0.034595605	0.039237294	20	23
18	7	1906	14	6.3739	15	9	34.9549	29903	0.751546616	2.573724625	171	1455
0	0	0	0	0	0	0	0	29903	0.338097115	0.520172153	156	302
11	3	774	6	2.5884	0	26	21.7379	29903	0.657179983	1.823756854	178	1029
6	1	29816	2	99.7091	198	90	95.5103	29903	0.998288165	2935.198776	4	1742684
17	16	29111	32	97.3514	192	70	99.227	29903	0.997679205	50.43309104	5	28055
108	1	29815	2	99.7057	204	70	49.82	29903	0.99954501	5598.293772	2	2227707
0	0	0	0	0	0	0	0	29903	0.033829816	0.039306706	18	23
103	39	20521	78	68.6252	161	41	47.0109	29903	0.990986316	7.775859714	21	4494
0	0	0	0	0	0	0	0	29903	0.060877977	0.071919408	33	42
0	0	0	0	0	0	0	0	29903	0.197045966	0.292654656	102	170
153	5	29312	12	98.0236	196	70	40.7709	29903	0.991634066	138.8310964	7	78313
38	35	26385	70	88.2353	182	70	96.7587	29903	0.994699428	21.00232829	12	11691
6	6	29565	12	98.8697	199	70	99.9966	29903	0.99828437	170.9250713	4	97728
2166	1	29592	2	98.96	196	44	2.7445	29903	0.998748372	1439.968405	4	859131
0	0	0	0	0	0	0	0	29903	0.038083784	0.038083784	15	15
36	1	29827	2	99.7458	200	70	73.476	29903	0.998862015	1033.444103	4	615869
0	0	0	0	0	0	0	0	29903	0.017075453	0.018779656	11	11
14	14	28390	28	94.9403	45	14	99.8733	29903	0.998492522	1850.870899	5	1103638
0	0	0	0	0	0	0	0	29903	0.181368973	0.22932281	92	134
0	0	0	0	0	0	0	0	29903	0.022151687	0.022151687	13	13
0	0	0	0	0	0	0	0	29903	0.01022864	0.011933414	6	7
0	0	0	0	0	0	0	0	29903	0.008491008	0.008491008	5	5
0	0	0	0	0	0	0	0	29903	0.042565267	0.045970488	25	27
0	0	0	0	0	0	0	0	29903	0.01022864	0.01022864	6	6
0	0	0	0	0	0	0	0	29903	0.022151687	0.022151687	13	13
0	0	0	0	0	0	0	0	29903	0.022317252	0.027328612	13	16
0	0	0	0	0	0	0	0	29903	0.001705343	0.001705343	1	1
4	1	29821	2	99.7258	194	70	97.7504	29903	0.999135168	1895.437435	4	1127415
5548	7	2217	14	7.414	17	9	0.0994	29903	0.879306668	3.023364913	136	1739
27	5	29752	10	99.495	190	70	83.2959	29903	0.998777364	133.4717823	3	76655
0	0	0	0	0	0	0	0	29903	0.001705343	0.001705343	1	1
0	0	0	0	0	0	0	0	29903	0.027258151	0.035776323	16	21
0	0	0	0	0	0	0	0	29903	0.001705343	0.001705343	1	1
0	0	0	0	0	0	0	0	29903	0.050293686	0.052796689	29	31
21	1	29862	2	99.8629	192	70	84.1906	29903	0.99914441	12067.26035	3	7208985
189	43	19160	86	64.0738	115	38	34.316	29903	0.965150134	8.205423051	43	3091
25	8	29738	16	99.4482	195	72	76.741	29903	0.997367675	228.3775159	5	128537
0	0	0	0	0	0	0	0	29903	0.036558494	0.041199252	19	24
109	3	29778	6	99.582	201	70	38.9572	29903	0.998373834	268.6200499	5	155063
3	1	29824	2	99.7358	200	70	65.3753	29903	0.998736813	2080.221775	4	1230798
