sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.52	covid	9	1	29871	6	99.8930	14	6	89.9584	33441	1	30101	90.0122603989115	100
rand.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.85	covid	1	1	29837	4	99.7793	10	6	100.0000	29972	1	29972	100	100
rand.13	covid	11	1	29796	2	99.6422	24	0	88.9539	33496	1	29810	88.9957009792214	99.6890180561149
rand.64	covid	41	2	29806	6	99.6756	14	0	66.9021	44882	2	30083	67.0268704603182	100
rand.25	covid	2	1	29816	4	99.7091	18	0	98.7477	30265	1	29953	98.9691062283165	100
rand.37	covid	144	1	29845	4	99.8060	24	0	35.1066	85212	1	29925	35.1182931981411	100
rand.10	covid	25	1	29855	4	99.8395	18	0	75.9345	39434	1	29969	75.9978698584978	100
rand.92	covid	32	2	29843	8	99.7994	14	0	67.7935	44640	2	30301	67.8785842293907	100
rand.47	covid	24	1	29861	4	99.8595	28	0	78.9714	37896	1	29941	79.0083386109352	100
rand.24	covid	1	1	29858	4	99.8495	26	0	99.9833	29913	1	29913	100	100
rand.89	covid	3	2	29772	4	99.5619	21	0	98.8807	30109	2	29809	99.0036201800126	99.6856333837162
rand.31	covid	2649	1	29796	2	99.6422	12	0	2.3627	1261120	1	29810	2.3637718853083	99.6890180561149
rand.54	covid	60	1	29849	4	99.8194	14	6	58.7432	50937	1	29922	58.7431533070263	100
rand.14	covid	694	1	29796	2	99.6422	12	0	9.5285	312705	1	29810	9.53294638717002	99.6890180561149
rand.33	covid	23	2	29690	6	99.2877	22	0	72.9968	40784	2	29819	73.1144566496665	99.7190948568542
rand.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.97	covid	4	4	29771	12	99.5586	24	0	99.5796	30210	4	30210	100	100
rand.99	covid	5	3	29856	8	99.8428	18	0	97.4909	30728	3	29997	97.6210622233793	100
rand.38	covid	113	1	29871	6	99.8930	10	6	40.9176	73543	1	30092	40.9175584352012	100
rand.16	covid	25	1	29855	4	99.8395	18	0	77.4347	38670	1	29961	77.4786656322731	100
rand.12	covid	368	1	29836	6	99.7759	22	4	15.9285	188442	1	30016	15.9285085065962	100
rand.67	covid	7	1	29855	4	99.8395	18	0	93.0112	32223	1	29988	93.0639605250908	100
rand.48	covid	10	1	29836	6	99.7759	14	0	90.3588	33274	1	30066	90.3588387329446	100
rand.20	covid	7	1	29833	2	99.7659	18	0	93.7850	31810	1	29850	93.8384155925809	99.822750477659
