fragment	annotation
k141_341	Rhodococcus
k141_337	Rhodococcus
k141_1558	Others
k141_976	Others
k141_343	Others
k141_1674	Others
k141_184	Rhodococcus
k141_723	Rhodococcus
k141_1339	Rhodococcus
k141_2234	Rhodococcus
k141_186	Rhodococcus
k141_1747	Others
k141_2235	Rhodococcus
k141_1213	Others
k141_1516	Rhodococcus
k141_2304	Rhodococcus
k141_986	Rhodococcus
k141_2154	Others
k141_178	Rhodococcus
k141_2159	Others
k141_1929	Others
k141_130	Rhodococcus
k141_826	Rhodococcus
k141_1860	Rhodococcus
k141_598	Rhodococcus
k141_138	Others
k141_2076	Rhodococcus
k141_1940	Rhodococcus
k141_2127	Rhodococcus
k141_456	Rhodococcus
k141_1088	Rhodococcus
k141_1638	Rhodococcus
k141_1727	Rhodococcus
k141_987	Rhodococcus
k141_1423	Rhodococcus
k141_568	Rhodococcus
k141_1868	Rhodococcus
k141_2128	Rhodococcus
k141_1378	Rhodococcus
k141_75	Rhodococcus
k141_234	Rhodococcus
k141_69	Rhodococcus
k141_840	Others
k141_2136	Rhodococcus
k141_604	Rhodococcus
k141_1554	Rhodococcus
k141_617	Rhodococcus
k141_1891	Rhodococcus
k141_270	Others
k141_276	Others
k141_941	Rhodococcus
k141_939	Rhodococcus
k141_1683	Others
k141_1025	Rhodococcus
k141_944	Rhodococcus
k141_1019	Rhodococcus
k141_461	Rhodococcus
k141_526	Rhodococcus
k141_2338	Rhodococcus
k141_150	Others
k141_564	Rhodococcus
k141_143	Rhodococcus
k141_486	Rhodococcus
k141_1532	Rhodococcus
k141_733	Rhodococcus
k141_738	Rhodococcus
k141_527	Rhodococcus
k141_1967	Rhodococcus
k141_906	Others
k141_1093	Others
k141_1756	Rhodococcus
k141_7	Others
k141_1028	Rhodococcus
k141_21	Rhodococcus
k141_910	Rhodococcus
k141_26	Rhodococcus
k141_32	Rhodococcus
k141_357	Rhodococcus
k141_1224	Rhodococcus
k141_500	Rhodococcus
k141_1577	Others
k141_1647	Rhodococcus
k141_1572	Rhodococcus
k141_1357	Rhodococcus
k141_197	Rhodococcus
k141_991	Others
k141_1271	Others
k141_641	Rhodococcus
k141_2012	Others
k141_2014	Rhodococcus
k141_642	Rhodococcus
k141_390	Rhodococcus
k141_1689	Rhodococcus
k141_645	Rhodococcus
k141_1691	Rhodococcus
k141_1697	Rhodococcus
k141_2243	Rhodococcus
k141_1364	Rhodococcus
k141_397	Others
k141_2089	Rhodococcus
k141_1164	Rhodococcus
k141_240	Rhodococcus
k141_1042	Rhodococcus
k141_382	Rhodococcus
k141_1535	Rhodococcus
k141_386	Rhodococcus
k141_1055	Rhodococcus
k141_753	Rhodococcus
k141_2313	Rhodococcus
k141_297	Others
k141_472	Rhodococcus
k141_1167	Rhodococcus
k141_1386	Others
k141_1899	Rhodococcus
k141_1766	Others
k141_1894	Rhodococcus
k141_1911	Rhodococcus
k141_914	Others
k141_479	Others
k141_1809	Rhodococcus
k141_476	Rhodococcus
k141_1366	Others
k141_919	Rhodococcus
k141_1731	Rhodococcus
k141_686	Rhodococcus
k141_504	Rhodococcus
k141_1275	Rhodococcus
k141_1653	Others
k141_1659	Others
k141_1279	Rhodococcus
k141_1979	Rhodococcus
k141_1131	Rhodococcus
k141_2211	Rhodococcus
k141_1987	Rhodococcus
k141_401	Rhodococcus
k141_873	Rhodococcus
k141_1316	Others
k141_1321	Others
k141_1109	Rhodococcus
k141_1231	Rhodococcus
k141_1228	Rhodococcus
k141_949	Others
k141_2261	Rhodococcus
k141_2147	Rhodococcus
k141_437	Others
k141_953	Rhodococcus
k141_1887	Rhodococcus
k141_1396	Others
k141_621	Rhodococcus
k141_1392	Rhodococcus
k141_629	Others
k141_1460	Rhodococcus
k141_623	Others
k141_2095	Rhodococcus
k141_1612	Rhodococcus
k141_2214	Rhodococcus
k141_1610	Rhodococcus
k141_546	Rhodococcus
k141_245	Rhodococcus
k141_541	Rhodococcus
k141_556	Others
k141_252	Rhodococcus
k141_688	Others
k141_215	Others
k141_2348	Rhodococcus
k141_328	Rhodococcus
k141_2274	Rhodococcus
k141_689	Rhodococcus
k141_1171	Others
k141_790	Rhodococcus
k141_2318	Others
k141_2315	Rhodococcus
k141_1840	Others
k141_1847	Others
k141_1234	Rhodococcus
k141_1141	Rhodococcus
k141_2229	Rhodococcus
k141_637	Others
k141_1337	Rhodococcus
k141_370	Others
k141_1589	Rhodococcus
k141_365	Rhodococcus
k141_1996	Rhodococcus
k141_1890	Others
k141_1992	Rhodococcus
k141_1615	Rhodococcus
k141_761	Others
k141_1467	Rhodococcus
k141_2052	Rhodococcus
k141_1146	Rhodococcus
k141_762	Rhodococcus
k141_2056	Rhodococcus
k141_1184	Rhodococcus
k141_1594	Rhodococcus
k141_2058	Rhodococcus
k141_928	Rhodococcus
k141_663	Others
k141_1958	Rhodococcus
k141_2030	Rhodococcus
k141_1444	Rhodococcus
k141_1329	Rhodococcus
k141_511	Rhodococcus
k141_769	Others
k141_1622	Rhodococcus
k141_889	Others
k141_2001	Rhodococcus
k141_1411	Rhodococcus
k141_1413	Rhodococcus
k141_1744	Rhodococcus
k141_1244	Others
k141_2062	Rhodococcus
k141_2256	Rhodococcus
k141_514	Others
k141_2281	Rhodococcus
k141_2286	Rhodococcus
k141_1478	Rhodococcus
k141_2102	Rhodococcus
k141_1253	Others
k141_808	Others
k141_1261	Others
k141_1335	Rhodococcus
k141_1631	Rhodococcus
k141_2290	Others
k141_2362	Others
k141_2071	Others
k141_2329	Rhodococcus
k141_2371	Others
k141_1495	Rhodococcus
k141_300	Rhodococcus
k141_1670	Rhodococcus
k141_1791	Rhodococcus
k141_1796	Rhodococcus
k141_173	Rhodococcus
k141_1200	Rhodococcus
k141_710	Others
k141_1414	Rhodococcus
k141_2117	Rhodococcus
k141_79	Others
k141_45	Others
k141_2114	Rhodococcus
k141_86	Rhodococcus
k141_53	Rhodococcus
k141_2117	Rhodococcus
k141_79	Others
k141_45	Others
k141_2114	Rhodococcus
