cohort	raw	host	filtered	clean
Control	16048891	15995788	16577	36526
Control	3014774	3003509	1073	10192
Control	16123476	16085621	5195	32660
COVID	47979297	47320746	379398	279153
Control	12226925	12177675	11400	37850
Control	14645950	14609973	7500	28477
Control	16926432	16885676	9346	31410
Control	27679209	26152895	168465	1357849
Control	25074080	24868647	20729	184704
Control	27862754	27086741	91711	684302
Control	14453771	14337765	23087	92919
Control	48230203	44891923	3039342	298938
Control	38237379	38072610	101178	63591
Control	2776200	2775906	7	287
Control	29112573	29043551	14157	54865
Control	10648013	10589897	20902	37214
Control	10640721	10608974	3458	28289
Control	22639224	22576701	13831	48692
COVID	3394936	3363033	19386	12517
Control	14339616	14076499	99998	163119
Control	44894079	41467287	1497445	1929347
Control	10511334	10220530	254503	36301
Control	17513458	17107494	200562	205402
Control	23245790	23245567	6	217
COVID	65073574	63438959	741118	893497
Control	10305610	10253632	9018	42960
Control	17361480	15916601	841205	603674
Control	29773200	29675931	12152	85117
Control	60865706	60254051	248473	363182
Control	16100580	15999758	44802	56020
Control	29086485	28666864	69594	350027
Control	11555729	8214214	2520128	821387
Control	42750522	42039002	343355	368165
Control	37928969	37916953	8738	3278
COVID	12871490	9694510	1843901	1333079
Control	17018391	16029719	244277	744395
Control	18501253	17672850	59089	769314
Control	44458591	43762057	561737	134797
Control	9264163	9172714	35881	55568
COVID	22947896	22730223	146865	70808
Control	17109592	17039290	9805	60497
Control	55996323	55538040	270429	187854
Control	2464790	2421077	40456	3257
Control	60769834	53324585	3023205	4422044
COVID	33208818	32560524	222451	425843
Control	57884228	56603943	831285	449000
Control	56528575	56220737	58604	249234
COVID	27543279	27016119	113964	413196
Control	25123879	25058339	60773	4767
Control	11464765	10451381	429524	583860
Control	45219640	44882181	37782	299677
Control	19856721	19772064	65019	19638
COVID	24905140	22910294	191876	1802970
Control	55931282	55771038	19017	141227
Control	94584675	92882042	833106	869527
Control	23029623	22183651	286718	559254
Control	28886946	28836777	7325	42844
Control	16103711	15805883	68444	229384
Control	23614361	23308361	28788	277212
Control	30718772	30086096	78306	554370
Control	54768086	54259328	160926	347832
COVID	9509115	2904285	1669497	4935333
