sample	round	prj	nCtg	nPath	cov	signal	annotatedRatio
rand.9	3	Sardi_Zika_2016_mock	229	0	0	0	86.0057100209683
rand.90	3	Sardi_Zika_2016_mock	399	12	94.8133161670039	6.74160242200731	86.9009472658304
rand.91	3	Sardi_Zika_2016_mock	211	1	98.5194040831341	11.3475552919244	90.3590417587669
rand.92	3	Sardi_Zika_2016_mock	258	11	96.339893323524	10.4904768580641	86.257355738035
rand.93	3	Sardi_Zika_2016_mock	131	0	0	0	83.8620391393664
rand.94	3	Sardi_Zika_2016_mock	180	1	98.5194040831341	13.8152040750532	86.8850251376586
rand.95	3	Sardi_Zika_2016_mock	200	1	98.5194040831341	12.4152557104614	86.6412617762252
rand.96	3	Sardi_Zika_2016_mock	476	12	97.2779106124701	5.79845199201877	86.9700320046552
rand.97	3	Sardi_Zika_2016_mock	201	1	98.5194040831341	12.3415971614211	86.449120132473
rand.98	3	Sardi_Zika_2016_mock	502	7	25.7494942063638	1.49837586758638	86.3866267540976
rand.99	3	Sardi_Zika_2016_mock	245	1	98.5194040831341	10.5366170309027	88.0872022075395
rand.1	3	See_sars_2023	644	14	100	11.7660455076539	64.2730227843177
rand.10	3	See_sars_2023	86	1	100	47.5624614313518	51.3548581774291
rand.100	3	See_sars_2023	343	1	100	17.5146514272385	50.0530222693531
rand.11	3	See_sars_2023	528	1	100	11.7470482289374	63.8228624783247
rand.12	3	See_sars_2023	1037	3	100	6.36792549674993	55.2803420677557
rand.13	3	See_sars_2023	691	1	100	9.08699357883594	56.4200685946112
rand.14	3	See_sars_2023	261	1	100	22.271060636486	49.5139314145744
rand.15	3	See_sars_2023	478	11	100	14.84536529334	56.8610783076109
rand.16	3	See_sars_2023	884	6	100	7.63417603328251	58.4628495530379
rand.17	3	See_sars_2023	163	16	100	36.1890015483742	66.8367826168634
rand.18	3	See_sars_2023	584	14	100	12.5506058683529	52.485299835262
rand.19	3	See_sars_2023	689	35	100	13.8449126177628	49.6256025885345
rand.2	3	See_sars_2023	927	9	100	7.91242254352316	88.0983630090283
rand.20	3	See_sars_2023	118	8	100	40.108630054315	78.9338976219266
rand.21	3	See_sars_2023	966	31	100	9.19814432083022	51.9885710134751
rand.22	3	See_sars_2023	400	2	100	15.2112492284222	55.2617249461398
rand.23	3	See_sars_2023	785	4	100	8.92444338028008	81.4943946118167
rand.24	3	See_sars_2023	1564	6	100	4.43753105917752	61.8733366386852
rand.25	3	See_sars_2023	859	5	100	7.81269336818292	56.674998724685
rand.26	3	See_sars_2023	814	1	99.9598702471324	7.75984486021583	57.8731248768681
rand.27	3	See_sars_2023	166	5	100	32.8919116169362	53.6204016013618
rand.28	3	See_sars_2023	337	3	100	17.9066982151725	58.4891292744547
