prj	cohort	asm_contig	asm_cov	signal_ratio	gatk_cov	gatk_reads	raw	clean	type
p2	Control	0	0	0	0.00113682	2	1234575	328505	PE
p2	Control	0	0	0	0.00113682	1	1352872	794999	PE
p2	Control	0	0	0	0	0	166872	161401	PE
p2	Control	0	0	0	0	0	1196413	854035	PE
p2	Control	0	0	0	0	0	1214208	840824	PE
p2	Control	0	0	0	0	0	1539058	352735	PE
p2	Control	0	0	0	0.00113682	1	1189337	410531	PE
p2	Control	0	0	0	0	0	1207096	342638	PE
p2	Control	0	0	0	0	0	1074005	342971	PE
p2	Control	0	0	0	0	0	1279074	323594	PE
p2	Control	0	0	0	0.001003143	1	1369685	506163	PE
p2	Control	0	0	0	0	0	1351156	291150	PE
p2	COVID	2	1.662	0.0158	0.273995814	79	411747	389471	PE
p2	COVID	0	0	0	0	0	1086032	1074814	PE
p2	COVID	0	0	0	0.006786801	6	101819	91763	PE
p2	COVID	0	0	0	0	0	805781	792186	PE
p2	COVID	0	0	0	0	0	1066925	1053485	PE
p2	COVID	0	0	0	0	0	182068	180827	PE
p2	COVID	0	0	0	0	0	350883	347242	PE
p2	COVID	0	0	0	0	0	850062	840603	PE
p2	COVID	0	0	0	0	0	453964	448522	PE
p2	COVID	0	0	0	0	0	256225	251540	PE
p2	COVID	0	0	0	0	0	1069874	1043707	PE
p2	COVID	0	0	0	0	0	349748	342783	PE
p2	Control	0	0	0	0.773368061	299	937048	617261	PE
p2	Control	0	0	0	0.022563177	6	372421	339017	PE
p2	Control	0	0	0	0.024199479	5	625213	583238	PE
p2	Control	0	0	0	0.009931118	1	1073352	1046386	PE
p2	Control	0	0	0	0.019923782	3	227876	196184	PE
p2	Control	0	0	0	0	0	1067832	1018175	PE
p2	Control	0	0	0	0.992599251	1429	729869	704069	PE
p2	Control	0	0	0	0.17353196	39	500566	449089	PE
p2	Control	0	0	0	0.050751754	13	1068066	1050622	PE
p2	Control	0	0	0	0	0	1074103	1043245	PE
p2	Control	0	0	0	0.374875671	84	373451	368388	PE
p2	Control	0	0	0	0	0	433021	430005	PE
p2	Control	0	0	0	0	0	140622	138552	PE
p2	Control	0	0	0	0	0	520561	511500	PE
p2	Control	0	0	0	0	0	646444	635897	PE
p2	Control	0	0	0	0	0	936997	921353	PE
p2	Control	0	0	0	0	0	988715	970280	PE
p2	COVID	28	62.3081	0.2039	0.879380916	512	1220848	616364	PE
p2	COVID	0	0	0	0.071855288	302	1533285	1483384	PE
p2	COVID	0	0	0	0.006786801	6	101819	91763	PE
p2	COVID	0	0	0	0.041766907	11	912111	818917	PE
p2	COVID	35	71.9794	0.1441	0.9232299	823	1174767	883179	PE
p2	COVID	16	95.3583	28.1333	0.982100815	1471	559873	108036	PE
p2	COVID	2	2.157	0.1198	0.311833671	120	557604	484519	PE
p2	COVID	16	21.8674	0.1261	0.687681704	311	646807	567128	PE
p2	COVID	32	76.9388	1.4481	0.944042299	864	824622	451887	PE
p2	COVID	2	2.1837	0.0304	0.385329312	100	423007	358376	PE
p2	COVID	2	2.2205	0.0074	0.351477759	88	1244676	847694	PE
p2	COVID	0	0	0	0.150133333	40	981292	459953	PE
p2	Control	0	0	0	0.410887645	103	868467	245008	PE
p2	Control	0	0	0	0.001237086	2	796501	166303	PE
p2	Control	0	0	0	0.00113682	1	375632	176003	PE
p2	Control	0	0	0	0	0	1532978	244488	PE
p2	Control	0	0	0	0.036657087	9	757174	618716	PE
p2	Control	0	0	0	0.015745136	3	1291344	277190	PE
p2	Control	0	0	0	0.326820191	71	1319774	157885	PE
p2	Control	0	0	0	0.001103458	1	1138285	337350	PE
p2	Control	0	0	0	0.137245749	33	1877379	363081	PE
