cohort	others	otherVirus	fungi	unclassified	bacteria	covid
COVID	2107	404	11	185616	3422	8526
Control	2634	237	1	48982	150	0
COVID	11969	2884	11	113881	1524	72345
Control	178	46	115	3847	31231	2
Control	385	278757	19	164841	1405	0
Control	1815	18	16	87361	17137	0
COVID	755	60	15	97767	6824	1644
Control	443	831	104	47072	16389	0
COVID	37693	920	48	829785	3137118	1
Control	410	512	4	22664	241	0
Control	145	2793	30	39491	666	0
Control	6554	198	18	479455	74275	0
COVID	59460	3407	8191	3513347	1240108	329
Control	1	1	2	45	944	0
Control	288	1	33	159289	32	0
Control	608	23	72	94786	1944	0
COVID	3019	32	3	170106	529	29
Control	710	2	25	47935	80	0
Control	346	5	8	56939	6642	0
Control	2256	9	3582	35279	320836	0
Control	15104	4166	1189	405500	205969	0
COVID	2736	18	19	78960	231	26
Control	530	2	5	70211	113	0
COVID	1554	61	19	158446	34369	1121
Control	1777	14	81	127761	67005	0
Control	56	2	20	35169	4257	0
Control	3503	539	30	132635	9687	0
Control	228	49	10	44533	280	0
Control	1082	2	16	269498	6280	0
Control	781	5	462	74875	31136	0
COVID	35119	30873	668037	312431	16597	701620
COVID	5584	164	5	106788	8906	12
Control	1420	220628	4	276933	1439	1
Control	1267	12	40	89439	13761	0
Control	4117	1	2	68623	949	0
COVID	183907	29447	3568	1238910	50358	1496402
Control	421	1945	5	177496	6216	0
Control	750	22	3284	5543	56021	0
Control	174	1	23	138978	523	0
Control	914	4	10	63351	114832	0
COVID	6436	76	7	137395	268921	396
Control	1356	223630	2	344094	4679	0
Control	219	13	111	23204	3324	0
Control	329	506	132	130427	482	0
Control	1398	636	25	231388	39408	0
Control	2957	4	0	52811	23	0
Control	214	1	2	54035	100	0
COVID	393	47	6	49300	104	1006
Control	239	0	0	9870	3485	0
Control	80	0	440	269	6297	0
Control	114	83756	21	8365	653	0
Control	638	9	3	58450	22868	0
Control	662	13620	9	198764	4498	0
Control	179	40	1488	35476	56	0
Control	437	1122	125	226908	8647	0
Control	709	3	1	21122	41162	0
Control	1494	938	189	118157	2655	0
Control	1488	19	49	106336	51819	0
COVID	1628	91	14	215925	1198	7575
Control	434	11369	7	59543	1154	0
COVID	319964	53649	15	206562	4157	1109278
Control	350	219	65	25987	76	0
Control	4023	41	10	93968	773	0
COVID	4027	341	506	675449	22099	5013
Control	111	1	8	104470	334	0
Control	282	402	707	37992	2654	0
Control	195	0	2	17960	1097	0
Control	117	14	11	46171	863	0
Control	498	1425	20232	277338	45333	0
Control	4371	172	12	102836	137704	0
Control	27	0	2	73	3147	0
Control	154	31	3	107092	4	0
Control	869	5200	14	116263	6053	0
Control	5996	12	97930	3900	188302	0
Control	236	3	522	6707	48034	0
COVID	192	100	3	131829	223	2252
Control	35	0	88	242	2010	1
Control	204	140	72	92577	1778	0
Control	776	1	56	19560	188207	22
Control	1383	17245	272	229670	7970	0
Control	280	1	7	68153	85	0
COVID	3444	492	17	283648	8616	12712
COVID	402	81	59	208379	9458	1904
Control	2073	195	2	148481	2292	0
COVID	1510	825	65	661	6868	19613
Control	620	10	61	80072	84	0
Control	1478	2220	4251	137298	56224	0
Control	496	27	473	31739	408	0
Control	1000	31862	9	90192	28641	0
COVID	9959	12	16	344284	207259	4
Control	13611	63	14	302385	197873	0
Control	0	0	0	5	39	0
COVID	20530	3243	56	491001	162969	57706
Control	30	1	0	8329	139	0
COVID	2497	123	67	32225	89391	1556
COVID	499193	263326	113	1520928	1126	5313042
Control	103	6746	26	15508	6042	0
Control	1363	21	251	89571	72013	0
Control	56	4	626	584	5727	1
COVID	807	778	30	502899	4110	206
COVID	353	422	61	460	1878	1861
Control	361	0	13	55056	1145	0
Control	609	13	42375	11780	66712	56
Control	441	3	3	161111	4013	0
Control	65	1787	518	4659	89722	0
Control	51	115	18	120	975	0
Control	377	22	12	95146	2253	0
Control	483	0	10	64421	14	0
Control	567	525	360	130719	14053	0
Control	749	726	11	44605	5810	0
COVID	33161	9740	2	251488	260118	206979
Control	5147	733910	651	288919	3133	0
Control	1827	7960	17	59159	5915	0
Control	82	0	253	313	3331	0
Control	2500	3	37	100000	13938	0
Control	2186	84	395	126895	14487	0
Control	38	1	6	8707	48	0
Control	510	0	14	124980	108	0
Control	1081	10	49	120372	1018	0
COVID	160374	98060	52	676561	207	2104649
COVID	7025	361	138	433827	4459	1080
Control	1366	3	1	86397	156	0
Control	523	6	2	27541	12543	0
Control	4870	9939	1293416	195234	7707	0
Control	257	1	7	37181	144	0
Control	626	3	12	95119	1578	0
Control	10627	210	79	350533	7919	0
COVID	46197	25006	3708	580510	106607	102753
Control	2725	25	3	27881	7348	0
Control	15895	77	3	353709	1103807	0
Control	712	2	27	63192	931	0
Control	3152	341	449	63803	40118	0
Control	1539	189	248	70726	1635	0
Control	636	3	23	57413	1442	0
Control	39739	149	959	232632	124039	5
Control	883	10	11	65699	9676	0
Control	1485	183581	85	167782	2756	0
COVID	3664	48	8	319646	10492	1
Control	1022	8	1	12762	270	0
Control	2839	9	5	39616	1898	0
Control	81	10	11	43375	638	0
COVID	683	1432	62	193289	18129	539
Control	9379	571	19	149228	268405	0
COVID	140	55	370	831	7805	1443
Control	5065	16	19	39207	1105	0
Control	438	7	20	22676	390	0
Control	3925	20	101	237582	137052	0
Control	42	0	57	155	3005	0
Control	921	784	11158	135502	16995	0
Control	180	0	1653	936	10076	0
Control	2159	118	245	150497	41108	0
COVID	1574	8	3	19561	45584	2
Control	546	76	152	196075	23516	0
Control	127	3083	208	3167	11712	0
Control	3852	68	99	155902	124468	0
COVID	32766	7707	20	680221	3574	228986
Control	1287	0	8	52810	119	0
Control	385	4	46	4422	41815	0
Control	95	215	679	599	9574	0
Control	659	419	1153	237452	11814	0
COVID	881	393	42	194876	5589	5625
Control	196	505	3	32495	57	0
Control	212	1	228	1137	10168	0
Control	612	2	6	35410	145	0
Control	0	4	347	2	18	0
Control	19903	3764436	13	1606653	3608	1
Control	3107	3	2	52927	7936	0
Control	604	299983	2	45965	2523	0
Control	1934	44	2566	113321	77985	0
Control	1196	12	2	31377	36	0
Control	475	1099	888	30226	3853	0
Control	4667	302	65	194570	46716	0
Control	767	4	92	60580	17813	0
COVID	174751	40065	42	236992	2822	803549
Control	62	0	217	86370	156	0
COVID	2627	185	397	263622	146640	3983
COVID	9368	5515	423	4652	24994	120875
Control	760	1	6	40423	13230	0
Control	695	773	9	124757	14200	0
Control	3797	459	33	56780	86661	0
COVID	247	102395	7	219972	303	9
Control	60	0	2	40920	736	0
Control	171	0	19	177248	20140	0
Control	4	9	33	79	33748	0
COVID	3287	1900	282	1111	3176	41759
COVID	1216	18	294	184011	75360	4
Control	106	18	676	468	7609	0
COVID	604	117	162	306303	12042	33
Control	650	5	81	45619	1137	0
COVID	111	3	2	70662	316	11
COVID	642	52	25	232548	1114	2399
Control	161	3297	5	113857	584	0
Control	133	0	505	116583	2172	0
Control	24858	33	2226	529079	374916	0
Control	1409	24343	529	43110	5910	0
Control	221	0	4	41429	190	0
COVID	1904	1593	215	767	3730	37899
Control	158	290	5	25033	6250	0
Control	817	164	248	59559	39401	0
Control	1117	83	1671	75296	83389	0
Control	108	25835	686	48103	6931	0
Control	567	3	6	51348	154	0
Control	2234	2	18	321465	197822	0
Control	67	2	116	315	5686	0
Control	2273	10	12	38273	118451	0
Control	83	0	2	22087	236	0
Control	130	26	186	151627	836	0
Control	2154	83	217	224954	130597	0
Control	14	2	13	132	1740	0
COVID	9942	2329	29	549384	23889	55072
COVID	128	29	7	313646	866	12
COVID	6198	4216	975	2135	4263	88977
Control	298	0	7	58407	91	0
COVID	1562	102	49	17055	255349	2149
Control	25	2	34	113	1016	0
Control	558	68	436	1889	36426	0
COVID	40471	25114	8	184904	24101	478943
COVID	275	19	160	413447	4853	23
Control	172	3	14	19986	38	0
Control	692	1	7	30484	695	0
Control	146	361	2	24356	1880	0
COVID	36	5	33	101	2245	133
Control	10948	319	3234	332013	63941	0
COVID	7671	765	485	674539	657747	1348
Control	55	17	88	122	3742	0
Control	378	31	15	80869	901	0
COVID	758	27	5540	60253	355	600
Control	57	58	244	423	3975	0
COVID	9113	4151	29	3221	53144	86804
Control	36	0	10	44611	220	0
Control	202	3	6	43890	1434	0
Control	187	25	32	216476	2767	0
Control	7161	267	90	61683	195575	0
Control	11699	4	5690	36728	330873	0
COVID	10672	1135	49	176086	9283	6
Control	650	422	303	76168	1781	0
Control	3203	389	99	129133	18934	0
Control	4799	212	8	168999	180831	0
Control	1837	33	7	55713	768	0
COVID	856	184	24	133363	12447	28
COVID	1281	7	152	525621	1902	65
COVID	1760	267	28	153542	753	4257
Control	25864	4180	4343	743232	514739	0
Control	781	2	62	28798	177	0
COVID	21	0	139	69	633	10
COVID	10123	4038	266	123809	5223	84785
COVID	183354	213709	7	530230	1518	886891
Control	750	1	3	68078	480	0
COVID	108	20	9	103473	850	340
COVID	11158	3057	503	88471	40419	77759
Control	822	46	221	54749	41402	0
Control	98	41	4	117248	831	5
Control	820	18	52	6446	96307	0
COVID	42856	10348	93	219749	1609	248670
Control	741	289	19	166096	2287	0
Control	1248	362069	56	111813	79014	0
Control	240	23	24	26997	1062	0
Control	179	370	10	101388	186	0
Control	2673	0	16	42726	334	0
Control	69	1	53	659	35997	0
Control	1279	0	4	35149	726	0
Control	3	6	230	23	419	0
Control	695	6	3109	31881	1195	0
Control	50	7	3999	277	2195	74
Control	2475	228	733	891883	618335	0
COVID	68248	34141	44	1125449	502658	628422
Control	1546	0	9	23469	57392	0
COVID	997	242	97318	101684	863	3181
Control	304	12	50	56601	1906	0
Control	2	1	0	82	199	0
Control	204	21	6	615	34638	0
Control	481	5	7	83335	22407	0
Control	743	26	156	72769	13414	0
Control	350	5	6	52399	163	0
Control	1414	197768	40	79974	3021	0
Control	28	23	4	20392	164	0
Control	1876	22	6	31130	5127	0
COVID	16883	823	438	193132	12969	15933
Control	3	0	7	32	292	0
Control	190	24	4	27829	1052	0
Control	158	1	3	34206	6501	0
Control	847	882	75	239946	10925	0
COVID	349	15	25	345364	1210	105
Control	358	14	399	162203	33578	0
Control	506	1	269	39641	418	0
Control	269	104	35	137162	2267	0
Control	4885	46	6	37311	177681	0
Control	957	122	613	486304	113	0
Control	373	15	22	2073	52067	50
Control	13862	3	23	40707	564	0
Control	277	2	0	35412	13685	0
COVID	85	1	59	136553	22534	10
COVID	820	4	782	554222	283	11
Control	25	59	14	145	2028	0
Control	1851	7	21	61730	122134	0
Control	3301	6	4802	4664	201280	12
Control	320	2	451	154322	9374	2
Control	11018	941	316	195490	39076	0
Control	572	101	313	42379	29494	0
Control	1271	3414	31	80526	26879	0
Control	223	553	1052	72313	3413	0
Control	925	762298	2421	77992	31807	0
Control	305	0	17	35960	570	0
Control	2897	183	3136	1073299	779466	0
Control	355	32	1335	128906	301	0
Control	816	48778	93	208178	2616	0
Control	1098	41	183	35127	264415	0
COVID	526	13477	34	54801	1744	2990
Control	1122	1	6	82348	2036	0
Control	1100	1	2	26178	78	0
Control	6	0	0	38	21899	0
Control	2808	17	9	138843	1072	0
Control	276	18490	51	142422	6428	0
Control	10739	1914615	25	776762	774	1
Control	721	3	272	224997	17073	0
Control	8500	13	57	260515	3544	18
COVID	13488	510	163	170815	281358	10
COVID	155	133	40	490	2705	899
Control	775	1184	11	100763	42176	0
Control	5001	101	29	671180	828	0
COVID	3127	208	936	75289	85	9715
Control	1236	174	3483	2407	12191	0
Control	34	0	26	26726	433	0
Control	729	0	309	129617	30	0
Control	58	10	137	288	2720	103
COVID	152	103470	8	65572	389	642
Control	4113	19	5	111831	260	0
Control	1970	5	1	37545	205	0
Control	56	2	7	33241	752	0
Control	78	334	2	37612	69	0
Control	1077	203	173	182663	1184	0
Control	313	17	112	93226	4675	0
COVID	472	54	479	148085	62557	6
Control	340	0	6	33497	324	0
Control	216	1	4	33673	725	0
Control	80	3	19	84796	867	0
COVID	265	18	356	8008	61399	535
COVID	6526	16	5	99620	53406	326
Control	0	0	0	23	194	0
COVID	1383	804	59	232	916	17453
Control	340	3	5	85724	39	0
Control	1041	97	39	173948	92215	0
COVID	10672	2744	51067	83808	441	67434
Control	381	2324	27	139813	12395	0
Control	126	3	1096	92995	495	2
Control	2835	3	16	84715	80371	0
Control	47	1	4	133532	140	0
Control	2706	108	101	84221	7582	0
Control	258	20200	411	15206	5630	3
Control	0	0	5	12	82	0
COVID	2170	100	74	759802	1047	2634
Control	1524	1	132	257986	59792	0
Control	2334	12512	16	133144	51905	0
Control	3244	1053	10	5953	129949	1
Control	52	1	45	237	6175	0
