sample	project	Mix	gatkReads	asmRef	asmFrag	asmPathogenFrag	asmCov	asmSignal	Virus	CleanSizeRNA	CleanSizeDNA
Zhang_Dengue_2021.Mix5.rand.69	Zhang_Dengue_2021	5	58429	q	1119	4	98.2320270117692	1.47767793065988	Dengue	1605999	0
Zhang_Dengue_2021.Mix5.rand.4	Zhang_Dengue_2021	5	123769	q	1574	1	100	0.919325496000488	Dengue	1757078	0
Zhang_Dengue_2021.Mix8.rand.65	Zhang_Dengue_2021	8	174016	q	1749	1	100	0.797937574426872	Dengue	3400526	0
Zhang_Dengue_2021.Mix9.rand.1	Zhang_Dengue_2021	9	151964	q	2008	5	100	0.692115929894004	Dengue	4054709	0
Zhang_Dengue_2021.Mix4.rand.37	Zhang_Dengue_2021	4	19216	q	851	4	100	2.43801099352694	Dengue	1870418	0
Zhang_Dengue_2021.Mix9.rand.27	Zhang_Dengue_2021	9	126308	q	1814	3	100	0.789252387054197	Dengue	4060531	0
Zhang_Dengue_2021.Mix4.rand.78	Zhang_Dengue_2021	4	68825	q	1208	2	99.5042271563089	1.39820889401243	Dengue	1364859	0
Zhang_Dengue_2021.Mix5.rand.14	Zhang_Dengue_2021	5	151775	q	1791	1	100	0.746825677546212	Dengue	2306295	0
Zhang_Dengue_2021.Mix6.rand.79	Zhang_Dengue_2021	6	119582	q	1561	1	99.8503088450704	0.98784855580132	Dengue	2421188	0
Zhang_Dengue_2021.Mix3.rand.5	Zhang_Dengue_2021	3	11896	q	1686	2	97.8485	0.810628376488057	Dengue	2156700	0
Zhang_Dengue_2021.Mix8.rand.62	Zhang_Dengue_2021	8	200564	q	1549	2	100	1.04779581017363	Dengue	2879486	0
Zhang_Dengue_2021.Mix4.rand.26	Zhang_Dengue_2021	4	94177	q	1072	1	100	1.62992012281782	Dengue	1635220	0
Zhang_Dengue_2021.Mix3.rand.76	Zhang_Dengue_2021	3	76640	q	791	2	99.6445088445615	2.10941135699787	Dengue	635620	0
