virus	length	Expect_errors	Actual_error	expected_Escape_blast	expected_Escape_bowtie
SARS_cov_2	150	13	7	4830	0
SARS_cov_2	150	13	8	14788	0
SARS_cov_2	150	13	9	43985	0
SARS_cov_2	150	13	10	112665	48
SARS_cov_2	150	13	11	226279	1453
SARS_cov_2	150	13	12	529327	41517
SARS_cov_2	150	13	13	1130335	2037601
SARS_cov_2	150	13	14	0	1336
SARS_cov_2	150	13	15	0	282
SARS_cov_2	150	13	16	0	43
SARS_cov_2	150	13	17	0	6
SARS_cov_2	150	13	18	0	1
SARS_cov_2	150	13	19	0	0
SARS_cov_2	150	13	20	0	0
SARS_cov_2	150	13	21	0	0
SARS_cov_2	150	13	22	0	0
SARS_cov_2	150	13	23	0	0
SARS_cov_2	150	13	24	0	0
SARS_cov_2	150	13	25	0	0
SARS_cov_2	150	13	26	0	0
SARS_cov_2	150	13	27	0	0
SARS_cov_2	150	13	28	0	0
SARS_cov_2	150	13	29	0	0
SARS_cov_2	150	13	30	0	0
SARS_cov_2	150	14	0	0	0
SARS_cov_2	150	14	1	0	0
SARS_cov_2	150	14	2	0	0
SARS_cov_2	150	14	3	5	0
SARS_cov_2	150	14	4	34	0
SARS_cov_2	150	14	5	164	0
SARS_cov_2	150	14	6	655	0
SARS_cov_2	150	14	7	2393	0
SARS_cov_2	150	14	8	7180	0
SARS_cov_2	150	14	9	19970	0
SARS_cov_2	150	14	10	52412	2
SARS_cov_2	150	14	11	120747	54
SARS_cov_2	150	14	12	221273	1971
SARS_cov_2	150	14	13	474806	48189
SARS_cov_2	150	14	14	930501	1813744
SARS_cov_2	150	14	15	0	1562
SARS_cov_2	150	14	16	0	411
SARS_cov_2	150	14	17	0	59
SARS_cov_2	150	14	18	0	10
SARS_cov_2	150	14	19	0	5
SARS_cov_2	150	14	20	0	0
SARS_cov_2	150	14	21	0	0
SARS_cov_2	150	14	22	0	0
SARS_cov_2	150	14	23	0	0
SARS_cov_2	150	14	24	0	0
SARS_cov_2	150	14	25	0	0
SARS_cov_2	150	14	26	0	0
SARS_cov_2	150	14	27	0	0
SARS_cov_2	150	14	28	0	0
SARS_cov_2	150	14	29	0	0
SARS_cov_2	150	14	30	0	0
SARS_cov_2	150	15	0	2	0
SARS_cov_2	150	15	1	0	0
